json_path,json_name,json_subtitle,status,method,notes,csv_line,id,uziti,zalm,verse,lekcionar,strana,doba,prilezitost,cyklus,odpoved,kb
data/json/pust/pust_04_X4.json,Čtvrtek po 4. neděli postní,,matched,exact-fixed,,128,Ps106_02,ID_0127,Žl 106(105),19-20.21-22.23,2,181,c-Postní,Čtvrtek po 4. neděli postní,,26,216
data/json/pust/pust_04_X5.json,Pátek po 4. neděli postní,,matched,exact-fixed,,129,Ps034_01,ID_0128,Žl 34(33),17-18.19-20.21+23,2,183,c-Postní,Pátek po 4. neděli postní,,11,86
data/json/pust/pust_04_X6.json,Sobota po 4. neděli postní,,matched,exact-fixed,,130,Ps007_01,ID_0129,Žl 7,2-3.9bc-10.11-12,2,185,c-Postní,Sobota po 4. neděli postní,,33,11
data/json/pust/pust_05_AB.json,5. neděle postní A/B,,matched,exact-fixed,,132,Ps130_01,ID_0131,Žl 130(129),1-2.3-4.5-6a.6b-8,1A,137,c-Postní,5. neděle postní,A,26,268
data/json/pust/pust_05_AB.json,5. neděle postní A/B,,matched,exact-fixed,,133,Ps051_03,ID_0132,Žl 51(50),3-4.12-13.14-15,1B,98,c-Postní,5. neděle postní,B,27,117
data/json/pust/pust_05_C.json,5. neděle postní C,,matched,exact-fixed,,134,Ps126_01,ID_0133,Žl 126(125),1-2ab.2cd-3.4-5.6,1C,100,c-Postní,5. neděle postní,C,5,263
data/json/pust/pust_05_X1.json,Pondělí po 5. neděli postní,,matched,exact-fixed,,135,Ps023_02,ID_0134,Žl 23(22),1-3.4.5.6,2,195,c-Postní,Pondělí po 5. neděli postní,,33,35
data/json/pust/pust_05_X2.json,Úterý po 5. neděli postní,,matched,exact-fixed,,136,Ps102_04,ID_0135,Žl 102(101),2-3.16-18.19-21,2,198,c-Postní,Úterý po 5. neděli postní,,52,195
data/json/pust/pust_05_X3.json,Středa po 5. neděli postní,,matched,exact-fixed,,137,Dan3_01,ID_0136,Dan 3,52a.52b.53.54.55.56,2,201,c-Postní,Středa po 5. neděli postní,,60,315
data/json/pust/pust_05_X4.json,Čtvrtek po 5. neděli postní,,matched,exact-fixed,,138,Ps105_08,ID_0137,Žl 105(104),4-5.6-7.8-9,2,203,c-Postní,Čtvrtek po 5. neděli postní,,58,214
data/json/pust/pust_05_X5.json,Pátek po 5. neděli postní,,matched,exact-fixed,,139,Ps018_02,ID_0138,Žl 18(17),2-3a.3bc-4.5-6.7,2,205,c-Postní,Pátek po 5. neděli postní,,5,23
data/json/pust/pust_05_X6.json,Sobota po 5. neděli postní,,matched,exact-fixed,,140,Jer31_01,ID_0139,Jer 31,10.11-12ab.13,2,208,c-Postní,Sobota po 5. neděli postní,,68,313
